Compliance Score,Summit,Commitment Text,Average,Issue-Area,Country,Year,Mentions Specific Date,Total Number of Commitments,Number of Same-Issue Commitments,Mentions UN,Mentions Developing Countries,Binding Level,GDP,GDP per Capita,GDP per Capita Growth,Host Country,Number of Ministerials,Closest Ministerial,Government Type
1,2012-29,"""Recognizing the impact of short-lived climate pollutants on near-term climate change, agricultural productivity, and human health, we support, as a means of promoting increased ambition and complementary to other CO2 and GHG emission reduction efforts, comprehensive actions to reduce these pollutants.""",0.111111111,Climate Change,Germany,2012,No,141,5,No,No,Lower,3.53E+12,43858.36306,0.231212503,United States,0,365,Federal
1,2013-145,"We will pursue ambitious and transparent action] internationally, in the UNFCCC, complemented by actions addressed through other relevant fora, including but not limited to:] the Climate and Clean Air Coalition which we all committed to join at our last Summit, where we will build on the eight global initiatives already begun and further develop the scientific evidence base and private sector involvement.",0.555555556,Climate Change,Germany,2013,No,214,24,Yes,No,Higher,3.73E+12,46285.76407,0.154547998,United Kingdom,0,365,Federal
1,2013-150,We reiterate our commitment to the developed countries’ goal of mobilising jointly $100billion of climate finance per year by 2020 from a wide variety of sources in the context of meaningful mitigation actions and transparency on implementation ,-0.111111111,Climate Change,Germany,2013,Yes,214,24,No,No,Higher,3.73E+12,46285.76407,0.154547998,United Kingdom,0,365,Federal
1,2014-44,“We therefore remain committed to low-carbon economies with a view to doing our part to limit effectively the increase in global temperature below 2°C above pre-industrial levels.”,0.625,Climate Change,Germany,2014,No,141,13,No,No,Higher,3.88E+12,47959.99327,1.800420038,European Union,0,365,Federal
1,2014-49,"We reaffirm our support for the Copenhagen Accord commitments to mobilize USD 100 billion per year by 2020 from a wide variety of sources, both public and private, to address the climate mitigation and adaptation needs of developing countries in the context of their meaningful and transparent mitigation actions.”",0.625,Climate Change,Germany,2014,Yes,141,13,No,Yes,Higher,3.88E+12,47959.99327,1.800420038,European Union,0,365,Federal
1,2015-33,the G7 commits to putting [protection of our climate] at the centre of our growth agenda. ,0.75,Climate Change,Germany,2015,No,376,23,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,0,365,Federal
1,2015-187,To this end we also commit to develop long term national low-carbon strategies. ,0.5,Climate Change,Germany,2015,No,376,23,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,0,365,Federal
1,2015-188,"We reaffirm our strong commitment to the Copenhagen Accord to mobilizing jointly USD 100 billion a year by 2020 from a wide variety of sources, both public and private in the context of meaningful mitigation actions and transparency on implementation. ",0.75,Climate Change,Germany,2015,Yes,376,23,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,0,365,Federal
0,2015-192,we will: Intensify our support particularly for vulnerable countries’ own (climate change)efforts to manage climate change related disaster risk ,0.625,Climate Change,Germany,2015,No,376,23,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,0,365,Federal
1,2015-194,We will aim to increase by up to 400 million the number of people in the most vulnerable developing countries who have access to direct or indirect insurance coverage against the negative impact of climate change related hazards by 2020. ,0.375,Climate Change,Germany,2015,Yes,376,23,No,Yes,Higher,3.36E+12,41139.54457,0.862787538,Germany,0,365,Federal
1,2016-25,"The G7, continuing to take a leadership role, commits to taking the necessary steps to secure ratification, acceptance or approval of the [Paris] agreement as soon as possible and calls on all Parties to do so striving for a goal of entry into force in 2016.",1,Climate Change,Germany,2016,Yes,342,12,No,No,Higher,3.47E+12,42098.92045,1.408102174,Japan,1,-11,Federal
0,2016-166,"We support adoption of an ambitious Montreal Protocol HFC phase-down amendment in 2016, and intend to provide additional support through the Multilateral Fund following adoption of an amendment for its implementation.",0,Climate Change,Germany,2016,Yes,342,12,No,No,Higher,3.47E+12,42098.92045,1.408102174,Japan,1,-11,Federal
1,2017-65,"Understanding this process, the Heads of State and of Governments of Canada, France, Germany, Italy, Japan and the United Kingdom and the Presidentsof the European Council and of the European Commission reaffirm their strong commitment to swiftly implement the Paris Agreement, as previously stated at the Ise-Shima Summit. ",0.71,Climate Change,Germany,2017,No,180,1,No,No,Higher,3.66E+12,44240.04411,2.082807721,Italy,1,16,Federal
0,1998-23,"We will also continue our efforts to reduce the global scourge of AIDS through vaccine development, preventive programmes and appropriate therapy, and by our continued support for UNAIDS. ",0.333333333,Health,Germany,1998,No,73,4,Yes,No,Higher,2.24E+12,27289.05936,2.00359925,United Kingdom,0,365,Federal
-1,1998-24,"We welcome the French proposal for a 'Therapeutic Solidarity Initiative' and other proposals for the prevention and treatment of AIDS, and request our experts to examine speedily the feasibility of their implementation. ",0.111111111,Health,Germany,1998,No,73,4,No,No,Higher,2.24E+12,27289.05936,2.00359925,United Kingdom,0,365,Federal
-1,1998-38,"We are concerned at the continuing global spread of AIDS. We reaffirm the need to continue efforts to combat AIDS at the national and international level through a combined strategy of prevention, vaccine development and appropriate therapy.",0.625,Health,Germany,1998,No,73,4,No,No,Higher,2.24E+12,27289.05936,2.00359925,United Kingdom,0,365,Federal
0,1999-39,"We also pledge to continue our national and international efforts in the fight against infectious and parasitic diseases, such as malaria, polio and tuberculosis, and their drug-resistant forms.",0,Health,Germany,1999,No,46,3,No,No,Higher,2.19E+12,26725.91522,1.826122849,Germany,0,365,Federal
0,2000-23,"implement an ambitious plan on infectious diseases, notably HIV/AIDS, malaria and TB ",0.428571429,Health,Germany,2000,No,105,14,No,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
1,2000-36,"“We therefore commit ourselves to working in strengthened partnership with governments, the World Health Organization (WHO) and other international organisations, industry (notably pharmaceutical companies), academic institutions, non-governmental organizations and other relevant actors in civil society to deliver three critical UN targets”: a) Reduce the number of HIV/AIDS-infected young people by 25% by 2010; b) Reduce TB deaths and prevalence of the disease by 50% by 2010; c) Reduce the burden of disease associated with malaria by 50% by 2010",1,Health,Germany,2000,Yes,105,14,Yes,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
1,2000-37,"“We therefore commit ourselves to working in strengthened partnership with governments, the World Health Organization (WHO) and other international organisations, industry (notably pharmaceutical companies), academic institutions, non-governmental organizations and other relevant actors in civil society to deliver three critical UN targets”: a) Reduce the number of HIV/AIDS-infected young people by 25% by 2010; b) Reduce TB deaths and prevalence of the disease by 50% by 2010; c) Reduce the burden of disease associated with malaria by 50% by 2010",1,Health,Germany,2000,Yes,105,14,Yes,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
1,2000-38,"“We therefore commit ourselves to working in strengthened partnership with governments, the World Health Organization (WHO) and other international organisations, industry (notably pharmaceutical companies), academic institutions, non-governmental organizations and other relevant actors in civil society to deliver three critical UN targets”: a) Reduce the number of HIV/AIDS-infected young people by 25% by 2010; b) Reduce TB deaths and prevalence of the disease by 50% by 2010; c) Reduce the burden of disease associated with malaria by 50% by 2010",1,Health,Germany,2000,Yes,105,14,Yes,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
1,2000-76,Pursue healthy ageing policies that permit a continued high quality of life ,0.666666667,Health,Germany,2000,No,105,14,No,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
1,2001-26,"At Okinawa last year, we pledged to make a quantum leap in the fight against infectious diseases and to break the vicious cycle between disease and poverty. To meet that commitment and to respond to the appeal of the UN General Assembly, we have launched with the UN Secretary-General a new Global Fund to fight HIV/AIDS, malaria and tuberculosis. We are determined to make the Fund operational before the end of the year. We have committed $1.3 billion. The Fund will be a public-private partnership and we call on other countries, the private sector, foundations, and academic institutions to join with their own contributions - financially, in kind and through shared expertise. We welcome the further commitments already made amounting to some $500 million.",0.75,Health,Germany,2001,No,58,3,Yes,No,Higher,1.94E+12,23607.88286,1.526794804,Italy,0,365,Federal
1,2001-28,"At the same time, we reaffirm our commitment to strong and effective intellectual property rights protection as a necessary incentive for research and development of life-saving drugs. ",1,Health,Germany,2001,No,58,3,No,No,Higher,1.94E+12,23607.88286,1.526794804,Italy,0,365,Federal
-1,Nov-02,"“We underlined the devastating consequences for Africa’s development of diseases such as malaria, tuberculosis, and HIV/AIDS.  In addition to our ongoing commitments to combat these diseases, we committed to provide sufficient resources to eradicate polio by 2005.”",0,Health,Germany,2002,Yes,187,18,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
0,2002-110,Supporting the strengthening of training facilities for the recruiting and training of health professionals ,0,Health,Germany,2002,No,187,18,No,No,Lower,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
1,2002-116,"""Helping Africa combat the effects of HIV/AIDS – including by: Helping to enhance the capacity of Africa to address the challenges that HIV/AIDS poses to peace and security in Africa.""",0.5,Health,Germany,2002,No,187,18,No,No,Lower,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
0,2002-117,"Pressing ahead with current work with the international pharmaceutical industry, affected African countries and civil society to promote the availability of an adequate supply of lifesaving medicines in an affordable and medically effective manner ",0.375,Health,Germany,2002,No,187,18,No,No,Lower,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
1,2002-118,"Supporting African countries in helping to promote more effective,
and cost-effective, health interventions to the most vulnerable sectors of society - including reducing maternal and infant mortality and morbidity;
",1,Health,Germany,2002,No,187,18,No,No,Lower,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
0,2002-119,"Continuing support for the Global Fund to Fight AIDS, Tuberculosis and Malaria, and working to ensure that the Fund continues to increase the effectiveness of its operations and learns from its experience ",0.25,Health,Germany,2002,No,187,18,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
0,2002-124,Supporting relevant public-private partnerships for the immunization of children and the elimination of micro-nutrient deficiencies in Africa. ,0.333333333,Health,Germany,2002,No,187,18,No,No,Lower,2.07E+12,25077.72908,-0.36611274,Canada,0,365,Federal
0,Oct-03,"""We agreed on measures to strengthen the Global Fund to fight AIDS, Tuberculosis and Malaria and other bilateral and multilateral efforts, notably through our active participation in the donors’ and supporters’ conference to be hosted in Paris this July.""",0.888888889,Health,Germany,2003,No,205,15,No,No,Higher,2.5E+12,30243.57653,-0.768486532,France,0,365,Federal
1,2003-13,We agreed on measures to mobilise the extra funding needed to eradicate polio by 2005.,1,Health,Germany,2003,Yes,205,15,No,No,Higher,2.5E+12,30243.57653,-0.768486532,France,0,365,Federal
0,2003-14,We agreed on measures to improve international co-operation against new epidemics such as SARS. ,0.777777778,Health,Germany,2003,No,205,15,No,No,Higher,2.5E+12,30243.57653,-0.768486532,France,0,365,Federal
0,2003-115,"We will work to develop an integrated approach that will facilitate the availability and take-up of discounted medicines for the poorest in a manner that is fair, efficient and sustainable. ",0.125,Health,Germany,2003,No,205,15,No,No,Higher,2.5E+12,30243.57653,-0.768486532,France,0,365,Federal
1,2004-166,"“We believe the time is right for the major scientific and other stakeholders -both public and private sector, in developed and developing countries — to come together in a more organized fashion....We endorse this concept and call for the establishment of a Global HIV Vaccine Enterprise.""",0.555555556,Health,Germany,2004,No,252,9,No,Yes,Higher,2.81E+12,34044.05363,1.21188534,United States,0,365,Federal
1,2004-172,“We are pleased that the financing gap for 2004 has now been closed through our efforts and those of others. We are determined to close the 2005 financing gap by the 2005 G8 Summit through the contributions of the G8 and other public and private donors.”,0.444444444,Health,Germany,2004,Yes,252,9,No,No,Higher,2.81E+12,34044.05363,1.21188534,United States,0,365,Federal
0,2005-68,"""Investing in improved health systems in partnership with African governments, by helping Africa train and retain doctors, nurses and community health workers.""",0.285714286,Health,Germany,2005,No,212,11,No,No,Lower,2.85E+12,34507.36881,0.779058121,United Kingdom,0,365,Federal
1,2005-70,"""With the aim of an AIDS-free generation in Africa, significantly reducing HIV infections and working with WHO, UNAIDS and other international bodies to develop and implement a package for HIV prevention, treatment and care, with the aim of as close as possible to universal access to treatment for all those who need it by 2010.""",1,Health,Germany,2005,Yes,212,11,Yes,No,Higher,2.85E+12,34507.36881,0.779058121,United Kingdom,0,365,Federal
0,2005-72,"“We will work to meet the financing needs for HIV/AIDS, including through the replenishment this year of the Global Fund to fight AIDS, TB and Malaria; and actively working with local stakeholders to implement the ‘3 Ones’ principles in all countries”",0.333333333,Health,Germany,2005,No,212,11,No,No,Higher,2.85E+12,34507.36881,0.779058121,United Kingdom,0,365,Federal
1,2005-74,“Supporting the Polio Eradication Initiative for the post eradication period in 2006-8 through continuing or increasing our own contributions toward the $829 million target and mobilizing the support of others.”,0.111111111,Health,Germany,2005,Yes,212,11,No,No,Lower,2.85E+12,34507.36881,0.779058121,United Kingdom,0,365,Federal
0,2005-76,Helping to meet the needs identified by the Stop TB Partnership. We also support the call for a high-level conference of Health Ministers for TB in 2006.,0.666666667,Health,Germany,2005,Yes,212,11,No,No,Lower,2.85E+12,34507.36881,0.779058121,United Kingdom,0,365,Federal
-1,2006-27,"""[In our response to HIV/AIDS, we will adhere to the following principles:] scale up support to address the rising rates of HIV infection among young people, particularly young girls and women""",0.5,Health,Germany,2006,No,317,60,No,No,Higher,2.99E+12,36323.44774,3.93175423,Russia,1,-78,Federal
0,2006-31,"""We will work with other donors and stakeholders in the effort to secure funds needed for the 2006-2007 replenishment period and call upon all concerned to participate actively in the development of a four-year strategy, aimed at building a solid foundation for the activities of the Fund in the years ahead.""",0.555555556,Health,Germany,2006,Yes,317,60,No,No,Higher,2.99E+12,36323.44774,3.93175423,Russia,1,-78,Federal
0,2006-36,"""We will also support the 3, 2006-2015, which aims to cut
TB deaths in half by the year 2015 compared to 1990 levels, saving some 14 million lives over ten years, and call upon all donors and stakeholders to contribute to its effective implementation.""",0.222222222,Health,Germany,2006,Yes,317,60,No,No,Higher,2.99E+12,36323.44774,3.93175423,Russia,1,-78,Federal
1,2006-43,"""We urgently call for mobilization of financial support and will continue to work collectively and with bilateral and multilateral donors to close the funding gap for 2007-2008, and will continue to work with others towards securing the resources necessary to finish the program and declare our planet polio-free in the near future.""",0.444444444,Health,Germany,2006,Yes,317,60,No,No,Higher,2.99E+12,36323.44774,3.93175423,Russia,1,-78,Federal
-1,2006-51,"Given the potential for the breakdown of public health services as a result of natural and man-made disasters, we support actions aimed at improving the preparedness and capacity of healthcare systems to meet health challenges posed by emergencies, especially in developing countries",0.11,Health,Germany,2006,No,317,60,No,Yes,Lower,2.99E+12,36323.44774,3.93175423,Russia,1,-78,Federal
1,2007-227,"""[We recognize that the level of demand to the Global Fund to fight AIDS, Tuberculosis and Malaria (GFATM) will increase substantially in the future as has been projected by the GFATM Board. In this regard, noting the conclusions of the April meeting of the GFATM Board, which estimated an additional demand approximately of US$ 6 billion by 2010 which might possibly reach US$ 8 billion,] G8 members pledge to work with other donors to replenish the GFATM and to provide long-term predictable funding based on ambitious, but realistic demand-driven targets.""",0.666666667,Health,Germany,2007,Yes,329,42,No,No,Higher,3.42E+12,41587.2129,3.121878224,Germany,0,365,Federal
1,2007-229,"Recognizing the growing feminization of the AIDS epidemic, the G8 in cooperation with partner governments support a gender-sensitive response by the GFATM, with the goal of ensuring that greater attention and appropriate resources are allocated by the Fund to HIV/AIDS prevention, treatment, and care that addresses the needs of women and girls. ",1,Health,Germany,2007,No,329,42,No,No,Lower,3.42E+12,41587.2129,3.121878224,Germany,0,365,Federal
0,2007-233,"""The G8 will take concrete steps to support education programs especially for girls, to promote knowledge about sexuality and reproductive health and the prevention of sexually transmitted infections.""",0.333333333,Health,Germany,2007,No,329,42,No,No,Higher,3.42E+12,41587.2129,3.121878224,Germany,0,365,Federal
0,2007-244,"""We will support responding to those African countries that indicate that they require technical assistance and capacity building programmes for advancing their access to affordable, safe, effective and high quality generic and innovative medicines in a manner consistent with the WTO.""",0.625,Health,Germany,2007,No,329,42,No,No,Higher,3.42E+12,41587.2129,3.121878224,Germany,0,365,Federal
1,2007-246,"""The G8 reaffirm their commitment to scaling up towards “universal access” to comprehensive HIV prevention, treatment and care by 2010 and recognise the significant progress made by countries on target setting and planning, notably concerning enhanced availability of affordable antiretroviral treatment.""",1,Health,Germany,2007,Yes,329,42,No,No,Higher,3.42E+12,41587.2129,3.121878224,Germany,0,365,Federal
1,2007-264,"""We will work with African states to address the different causes of this lack of human resource capacity within the health sector, including working conditions and salaries with the aim of recruiting, training and retaining additional health workers.""",0.666666667,Health,Germany,2007,No,329,42,No,No,Higher,3.42E+12,41587.2129,3.121878224,Germany,0,365,Federal
0,2008-117,"""We reiterate our support to our African partners’ commitment to ensure that by 2015 all children have access to basic health care (free wherever countries choose to provide this).",0.125,Health,Germany,2008,Yes,296,19,No,No,Higher,3.73E+12,45427.15168,1.154421594,Japan,0,365,Federal
1,2008-118,"""We reiterate our commitment to continue efforts, to work towards the goals of providing at least a projected US$ 60billion over 5 years, to fight infectious diseases and strengthen health.""",0.555555556,Health,Germany,2008,No,296,19,No,No,Higher,3.73E+12,45427.15168,1.154421594,Japan,0,365,Federal
-1,2008-127,"""To build on our commitments made on neglected tropical diseases at St Petersburg, we will work to support the control or elimination of diseases listed by the WHO through such measures as research, diagnostics and treatment, prevention, awareness-raising and enhancing access to safe water and sanitation. In this regard, by expanding health system coverage, alleviating poverty and social exclusion as well as promoting adequate integrated public health approaches, including through the mass administration of drugs, we will be able to reach at least 75% of the people affected by certain major neglected tropical diseases in the most affected countries in Africa, Asia, and Latin America, bearing in mind the WHO Plan. With sustained action for 3-5 years, this would enable a very significant reduction of the current burden with the elimination
of some of these diseases.""",-0.333333333,Health,Germany,2008,No,296,19,No,No,Higher,3.73E+12,45427.15168,1.154421594,Japan,0,365,Federal
0,2008-128,"""We support ongoing work to review travel restrictions for HIV positive people with a view to facilitating travel and we are committed to follow this issue.""",0.333333333,Health,Germany,2008,No,296,19,No,No,Higher,3.73E+12,45427.15168,1.154421594,Japan,0,365,Federal
0,2009-146,"""For the Asia-Pacific region, we will continue implementing the Evian Plan of Action with a particular focus on integrated water resource management and work on key regional issues such as climate change adaptation and transboundary river basin management.""",0.333333333,Health,Germany,2009,No,254,9,No,No,Higher,3.4E+12,41485.90165,-5.457900872,Italy,0,365,Federal
0,2009-147,"""We reaffirm our commitment to address the scarcity of health workers in developing countries, especially in Africa and we note the 2008 Kampala Declaration and the Agenda for Global Actions launched by the Global Health Workforce Alliance.""",0.555555556,Health,Germany,2009,Yes,254,9,No,Yes,Higher,3.4E+12,41485.90165,-5.457900872,Italy,0,365,Federal
0,2009-151,"""We will accelerate progress on combating child mortality, including through intensifying support for immunization and micronutrient supplementation, and on maternal health, including through sexual and reproductive health care and services and voluntary family planning.""",0.222222222,Health,Germany,2009,No,254,9,No,No,Higher,3.4E+12,41485.90165,-5.457900872,Italy,0,365,Federal
1,Aug-10,"Action is required on all factors that affect the health of women and children. This includes addressing gender inequality, ensuring women’s and children’s rights and improving education for women and girls.",0.777777778,Health,Germany,2010,No,73,12,No,No,Lower,3.4E+12,41531.9342,4.338691916,Canada,0,365,Federal
1,2010-011,"""To this end, the G8 undertake to mobilize as of today $5.0 billion of additional funding for disbursement over the next five years""",-0.555555556,Health,Germany,2010,No,73,12,No,No,Higher,3.4E+12,41531.9342,4.338691916,Canada,0,365,Federal
0,2010-14,"""We reaffirm our commitment to come as close as possible to universal access to prevention, treatment, care and support with respect to HIV/AIDS.""",0.222222222,Health,Germany,2010,No,73,12,No,No,Higher,3.4E+12,41531.9342,4.338691916,Canada,0,365,Federal
1,2010-18,"""We continue to support the control or elimination of high-burden Neglected Tropical Diseases (NTDs).""",0.111111111,Health,Germany,2010,No,73,12,No,No,Higher,3.4E+12,41531.9342,4.338691916,Canada,0,365,Federal
1,2011-63,"""We reaffirm our commitment to improving maternal health and reducing child mortality, most notably through the Muskoka Initiative for Maternal, Newborn and Child Health launched in 2010.""",-0.111111111,Health,Germany,2011,Yes,193,7,No,No,Higher,3.74E+12,46644.77603,5.868556631,France,0,365,Federal
1,2012-14,"""To protect public health and consumer safety, we also commit to exchange information on rogue internet pharmacy sites in accordance with national law and share best practices on combating counterfeit medical products.""",1,Health,Germany,2012,No,141,1,No,No,Higher,3.53E+12,43858.36306,0.231212503,United States,0,365,Federal
1,2013-136,"We will build on the achievements of the US G8 Presidency by advancing action in four areas: Deepening impact - by ensuring that investments have a measurable impact on [malnutrition, particularly for smallholders and women, and are made responsibly and support the sustainable use of natural resources]",0.888888889,Health,Germany,2013,No,214,2,No,No,Higher,3.73E+12,46285.76407,0.154547998,United Kingdom,0,365,Federal
1,2014-88,"We remain committed to the Muskoka Initiative on maternal, newborn and child health.”",0.75,Health,Germany,2014,No,141,12,No,No,Higher,3.88E+12,47959.99327,1.800420038,European Union,0,365,Federal
1,2014-89,“In addition we are committed to ensuring sexual and reproductive health and reproductive rights”,1,Health,Germany,2014,No,141,12,No,No,Higher,3.88E+12,47959.99327,1.800420038,European Union,0,365,Federal
1,2014-103,"We commit to] working together, in close cooperation with WHO, to develop a Global Action Plan on antimicrobial resistance.”",0.75,Health,Germany,2014,No,141,12,No,No,Higher,3.88E+12,47959.99327,1.800420038,European Union,0,365,Federal
1,2015-150,[we] will set up or strengthen mechanisms for rapid deployment of multidisciplinary teams of experts coordinated through a common platform. ,0.75,Health,Germany,2015,No,376,61,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,1,123,Federal
1,2015-153, [We will] effectively implement our national action plans. ,0.75,Health,Germany,2015,No,376,61,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,1,123,Federal
1,2015-176,[we will stimulate research focused on faster and targeted development of easily usable and affordable] vaccines,0.625,Health,Germany,2015,No,376,61,No,No,Higher,3.36E+12,41139.54457,0.862787538,Germany,1,123,Federal
0,2016-74,"[Recent outbreaks of Ebola and Zika underscore the imperative to improve prevention of, detection of and response to public health emergencies, whether naturally occuring, deliberate or accidental] In that respect, we remain committed to advancing compliance with the WHO's IHR objectives including through the Global Health Security Agenda (GHSA).",0.38,Health,Germany,2016,No,342,85,No,No,Higher,3.47E+12,42098.92045,1.408102174,Japan,1,108,Federal
1,2016-81,"We are committed to ending AIDS, tuberculosis and malaria, working in partnership with the Global Fund (GC) and others.",0.75,Health,Germany,2016,No,342,85,No,No,Higher,3.47E+12,42098.92045,1.408102174,Japan,1,108,Federal
1,2016-234,"[Building on the previous commitment of the G7 Elmau Summit and its subsequent Health Ministers' Meeting as well as the G7 Niigata Agriculture Ministers' Meeting], promote the One Health Approach to tackle cross-cutting issues of Antimicrobial Resistance (AMR) in human and animal health, agriculture food and the environment, and take actions involving multiple sectors, such as by integrating collaboration between the responsible ministries, in line with the 2015 WHO Global Action Plan on AMR adopted and relevant resolutions of the FAO and OIE. ",0.38,Health,Germany,2016,Yes,342,85,No,No,Higher,3.47E+12,42098.92045,1.408102174,Japan,1,108,Federal
-1,2017-69,[We are committed to pursuing policies that advance] mental health [improvements across the globe].,-0.5,Health,Germany,2017,No,180,7,No,No,Higher,3.66E+12,44240.04411,2.082807721,Italy,1,163,Federal
0,1996-39,"""We renew our commitment to secure substantial flows of official aid and to improve the quality of this aid. The whole international community should be mobilized in this effort and new donors should assume growing responsibility, so that the burden is more equally shared;""",0,Development,Germany,1996,No,128,23,No,No,Higher,2.5E+12,30485.86655,0.529524483,France,0,365,Federal
1,1997-55,"""We will work with African countries to ensure adequate and well-targeted assistance for those countries which have the greatest need and carry out the necessary broad-based reforms. The assistance will include support for democratic governance, respect for human rights, sound public administration, efficient legal and judicial systems, infrastructure development, rural development, food security, environmental protection, and human resource development including health and education of their people"". ",0,Development,Germany,1997,No,145,19,No,No,Higher,2.21E+12,26964.04947,1.634823153,United States,0,365,Federal
0,1998-20,"""We will work with the international institutions and other creditors to ensure that when they qualify, countries get the relief they need, including interim relief measures whenever necessary, to secure a lasting exit from their debt problems."" ",0,Development,Germany,1998,No,73,7,No,No,Higher,2.24E+12,27289.05936,2.00359925,United Kingdom,0,365,Federal
1,Jan-99,"""We also ask the Paris Club and other bilateral creditors to forgive commercial debt up to 90 % and more in individual cases if needed to achieve debt sustainability, in particular for the very poorest among these countries.""",0.857142857,Development,Germany,1999,No,46,8,No,No,Lower,2.19E+12,26725.91522,1.826122849,Germany,0,365,Federal
1,Feb-99,"""In addition to these amounts, we call for full cancellation on a bilateral basis, through various options, of Official Development Assistance (ODA) debt.""",0.857142857,Development,Germany,1999,No,46,8,No,No,Lower,2.19E+12,26725.91522,1.826122849,Germany,0,365,Federal
1,1999-28,"""While several means of financing are under consideration, credible progress in identifying additional funding possibilities is needed, and we stand ready to help with financing solutions. In this context we recognize the importance of fair burden sharing among creditors.""",0.857142857,Development,Germany,1999,No,46,8,No,No,Lower,2.19E+12,26725.91522,1.826122849,Germany,0,365,Federal
0,2000-31,"“We agree to strengthen our efforts to help them (HIPICs) prepare and come forward for debt relief, by asking our Ministers to make early contact with the countries in conflict to encourage them to create the right conditions to participate in the HIPC initiative.”",0,Development,Germany,2000,No,105,19,No,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
-1,2000-32,"“We will work together to ensure that as many countries as possible reach their Decision Points, in line with the targets set in Cologne, giving due consideration to the progress of economic reforms and the need to ensure that the benefits of debt relief are targeted to assist the poor and most vulnerable.”",-1,Development,Germany,2000,No,105,19,No,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
1,2000-33,“We will work expeditiously together with HIPCs and the IFIs to realize the expectation that 20 countries will reach the Decision Point within the framework of the Enhanced HIPC initiative by the end of this year.”,1,Development,Germany,2000,No,105,19,No,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
0,2000-34,“We for our part will promote more responsible lending and borrowing practices to ensure that HIPCs will not again be burdened by unsupportable debt.”,0,Development,Germany,2000,No,105,19,No,No,Higher,1.94E+12,23635.92922,2.75592867,Japan,0,365,Federal
0,Sep-01,"We have all agreed as a minimum to provide 100% debt reduction of official development assistance (ODA) and eligible commercial claims for qualifying HIPC countries. We urge those countries that have not already done so to take similar steps, and we underline the need for the active and full participation of all bilateral creditors in providing timely debt relief to HIPCs.",0,Development,Germany,2001,No,58,10,No,No,Higher,1.94E+12,23607.88286,1.526794804,Italy,0,365,Federal
1,2001-57,"“To take this process forward, each of us will designate a high level personal representative to liase with committed African Leaders on the development of a concrete Action Plan to be approved at the G8 Summit next year under the leadership of Canada.”",1,Development,Germany,2001,No,58,10,No,No,Higher,1.94E+12,23607.88286,1.526794804,Italy,0,365,Federal
0,Sep-02,"We will fund our share of the shortfall in the HIPC initiative, recognizing that this shortfall will be up to US $ 1 billion.",0,Development,Germany,2002,No,187,34,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,1,92,Federal
0,Oct-02,"Assuming strong African policy commitments, and given recent assistance trends, we believe in aggregate that half or more of our development assistance commitments announced at the Monterrey could be directed to African nations that govern justly, invest in their own people and promote economic freedom.",0.5,Development,Germany,2002,No,187,34,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,1,92,Federal
0,2002-49,"We commit to: Supporting African peer-review arrangements – including by: ""Encouraging cooperation with respect to peer-review practices, modalities and experiences between the Organisation for Economic Co-operation and Development (OECD) and the ECA, including the participation by the ECA in the OECD Development Assistance Committee (DAC) peer review process where the countries under review so agree;""",0,Development,Germany,2002,No,187,34,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,1,92,Federal
0,2002-50,"We commit to: Supporting African peer-review arrangements – including by: Encouraging, where appropriate, substantive information sharing between Africa and its partners with respect to items under peer-review;""",0,Development,Germany,2002,No,187,34,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,1,92,Federal
0,2002-51,We commit to: Supporting African peer-review arrangements – including by: Supporting regional organizations in developing tools to facilitate peer-review processes.,0,Development,Germany,2002,No,187,34,No,No,Higher,2.07E+12,25077.72908,-0.36611274,Canada,1,92,Federal
1,2003-15,"“We welcomed the report of our Finance Ministers’ discussions on our increased resources and on financing instruments. We invite them to report back to us in September on the issues raised by the financing instruments, including the proposal for a new International Finance Facility”.",0.875,Development,Germany,2003,No,205,24,No,No,Lower,2.5E+12,30243.57653,-0.768486532,France,1,-39,Federal
